Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Type of Location,SO2,NO2,RSPM/PM10,SPM
12/4/2007,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,5.3,11.8,54,99
12/7/2007,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,6.3,13.3,98,147
12/11/2007,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,5.3,13.5,91,130
14-12-07,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,4,9.6,77,114
18-12-07,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,4,9.9,123,163
21-12-07,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,3.8,9.1,125,215
29-12-07,Assam,Dibrugarh,Dibrugarh Off. Bldg,Residential and others,5.8,14.3,152,216
1/4/2007,Assam,Golaghat,Golaghat Off. Bldg.,Residential and others,3.5,10.9,157,191
1/5/2007,Assam,Golaghat,Golaghat Off. Bldg.,Residential and others,NA,12.3,209,250
1/10/2007,Assam,Golaghat,Golaghat Off. Bldg.,Residential and others,2.8,14.3,158,182
