"Stn Code","Sampling Date","State","City/Town/Village/Area","Location of Monitoring Station","Agency","Type of Location","SO2","NO2","RSPM/PM10","PM 2.5"
482,10-04-14,Jammu & Kashmir,Jammu,"M.A. Stadium, Jewel Chowk, Jammu",Jammu & Kashmir State Pollution Control Board,"Residential, Rural and other Areas",3,13,128,NA
482,10-10-14,Jammu & Kashmir,Jammu,"M.A. Stadium, Jewel Chowk, Jammu",Jammu & Kashmir State Pollution Control Board,"Residential, Rural and other Areas",2,15,122,NA
482,10-11-14,Jammu & Kashmir,Jammu,"M.A. Stadium, Jewel Chowk, Jammu",Jammu & Kashmir State Pollution Control Board,"Residential, Rural and other Areas",2,13,135,NA
482,17-10-14,Jammu & Kashmir,Jammu,"M.A. Stadium, Jewel Chowk, Jammu",Jammu & Kashmir State Pollution Control Board,"Residential, Rural and other Areas",4,9,116,NA
482,18-10-14,Jammu & Kashmir,Jammu,"M.A. Stadium, Jewel Chowk, Jammu",Jammu & Kashmir State Pollution Control Board,"Residential, Rural and other Areas",3,12,123,NA
482,21-10-14,Jammu & Kashmir,Jammu,"M.A. Stadium, Jewel Chowk, Jammu",Jammu & Kashmir State Pollution Control Board,"Residential, Rural and other Areas",3,15,72,NA
482,22-10-14,Jammu & Kashmir,Jammu,"M.A. Stadium, Jewel Chowk, Jammu",Jammu & Kashmir State Pollution Control Board,"Residential, Rural and other Areas",3,17,78,NA
482,23-10-14,Jammu & Kashmir,Jammu,"M.A. Stadium, Jewel Chowk, Jammu",Jammu & Kashmir State Pollution Control Board,"Residential, Rural and other Areas",7,23,143,NA
482,24-10-14,Jammu & Kashmir,Jammu,"M.A. Stadium, Jewel Chowk, Jammu",Jammu & Kashmir State Pollution Control Board,"Residential, Rural and other Areas",4,14,53,NA
482,25-10-14,Jammu & Kashmir,Jammu,"M.A. Stadium, Jewel Chowk, Jammu",Jammu & Kashmir State Pollution Control Board,"Residential, Rural and other Areas",3,13,46,NA
482,31-10-14,Jammu & Kashmir,Jammu,"M.A. Stadium, Jewel Chowk, Jammu",Jammu & Kashmir State Pollution Control Board,"Residential, Rural and other Areas",3,15,121,NA
482,12-06-14,Jammu & Kashmir,Jammu,"M.A. Stadium, Jewel Chowk, Jammu",Jammu & Kashmir State Pollution Control Board,"Residential, Rural and other Areas",2,19,131,NA
482,12-12-14,Jammu & Kashmir,Jammu,"M.A. Stadium, Jewel Chowk, Jammu",Jammu & Kashmir State Pollution Control Board,"Residential, Rural and other Areas",2,19,130,NA
482,13-12-14,Jammu & Kashmir,Jammu,"M.A. Stadium, Jewel Chowk, Jammu",Jammu & Kashmir State Pollution Control Board,"Residential, Rural and other Areas",2,22,134,NA
482,19-12-14,Jammu & Kashmir,Jammu,"M.A. Stadium, Jewel Chowk, Jammu",Jammu & Kashmir State Pollution Control Board,"Residential, Rural and other Areas",3,16,132,NA
482,26-12-14,Jammu & Kashmir,Jammu,"M.A. Stadium, Jewel Chowk, Jammu",Jammu & Kashmir State Pollution Control Board,"Residential, Rural and other Areas",2,18,117,NA
482,27-12-14,Jammu & Kashmir,Jammu,"M.A. Stadium, Jewel Chowk, Jammu",Jammu & Kashmir State Pollution Control Board,"Residential, Rural and other Areas",4,16,139,NA
507,02-03-14,Jammu & Kashmir,Jammu,"Bari Brahamana Industrial Area, Jammu",Jammu & Kashmir State Pollution Control Board,Industrial Area,20,7,177,NA
507,02-04-14,Jammu & Kashmir,Jammu,"Bari Brahamana Industrial Area, Jammu",Jammu & Kashmir State Pollution Control Board,Industrial Area,18,7,143,NA
507,02-10-14,Jammu & Kashmir,Jammu,"Bari Brahamana Industrial Area, Jammu",Jammu & Kashmir State Pollution Control Board,Industrial Area,15,9,141,NA
507,02-11-14,Jammu & Kashmir,Jammu,"Bari Brahamana Industrial Area, Jammu",Jammu & Kashmir State Pollution Control Board,Industrial Area,19,9,132,NA
507,17-02-14,Jammu & Kashmir,Jammu,"Bari Brahamana Industrial Area, Jammu",Jammu & Kashmir State Pollution Control Board,Industrial Area,18,8,142,NA
507,18-02-14,Jammu & Kashmir,Jammu,"Bari Brahamana Industrial Area, Jammu",Jammu & Kashmir State Pollution Control Board,Industrial Area,19,8,142,NA
507,24-02-14,Jammu & Kashmir,Jammu,"Bari Brahamana Industrial Area, Jammu",Jammu & Kashmir State Pollution Control Board,Industrial Area,15,7,189,NA
507,25-02-14,Jammu & Kashmir,Jammu,"Bari Brahamana Industrial Area, Jammu",Jammu & Kashmir State Pollution Control Board,Industrial Area,17,8,158,NA
507,04-01-14,Jammu & Kashmir,Jammu,"Bari Brahamana Industrial Area, Jammu",Jammu & Kashmir State Pollution Control Board,Industrial Area,5,12,139,NA
507,15-04-14,Jammu & Kashmir,Jammu,"Bari Brahamana Industrial Area, Jammu",Jammu & Kashmir State Pollution Control Board,Industrial Area,4,14,144,NA
507,21-04-14,Jammu & Kashmir,Jammu,"Bari Brahamana Industrial Area, Jammu",Jammu & Kashmir State Pollution Control Board,Industrial Area,6,20,133,NA
507,22-04-14,Jammu & Kashmir,Jammu,"Bari Brahamana Industrial Area, Jammu",Jammu & Kashmir State Pollution Control Board,Industrial Area,5,12,130,NA
507,28-04-14,Jammu & Kashmir,Jammu,"Bari Brahamana Industrial Area, Jammu",Jammu & Kashmir State Pollution Control Board,Industrial Area,4,10,110,NA
507,29-04-14,Jammu & Kashmir,Jammu,"Bari Brahamana Industrial Area, Jammu",Jammu & Kashmir State Pollution Control Board,Industrial Area,3,7,141,NA
507,05-06-14,Jammu & Kashmir,Jammu,"Bari Brahamana Industrial Area, Jammu",Jammu & Kashmir State Pollution Control Board,Industrial Area,3,14,80,NA
507,05-12-14,Jammu & Kashmir,Jammu,"Bari Brahamana Industrial Area, Jammu",Jammu & Kashmir State Pollution Control Board,Industrial Area,5,13,97,NA
507,13-05-14,Jammu & Kashmir,Jammu,"Bari Brahamana Industrial Area, Jammu",Jammu & Kashmir State Pollution Control Board,Industrial Area,3,16,97,NA
507,19-05-14,Jammu & Kashmir,Jammu,"Bari Brahamana Industrial Area, Jammu",Jammu & Kashmir State Pollution Control Board,Industrial Area,6,17,140,NA
507,20-05-14,Jammu & Kashmir,Jammu,"Bari Brahamana Industrial Area, Jammu",Jammu & Kashmir State Pollution Control Board,Industrial Area,6,18,102,NA
507,26-05-14,Jammu & Kashmir,Jammu,"Bari Brahamana Industrial Area, Jammu",Jammu & Kashmir State Pollution Control Board,Industrial Area,2,16,81,NA
507,06-02-14,Jammu & Kashmir,Jammu,"Bari Brahamana Industrial Area, Jammu",Jammu & Kashmir State Pollution Control Board,Industrial Area,6,14,107,NA
507,06-03-14,Jammu & Kashmir,Jammu,"Bari Brahamana Industrial Area, Jammu",Jammu & Kashmir State Pollution Control Board,Industrial Area,8,15,58,NA
507,06-09-14,Jammu & Kashmir,Jammu,"Bari Brahamana Industrial Area, Jammu",Jammu & Kashmir State Pollution Control Board,Industrial Area,5,12,78,NA
507,06-10-14,Jammu & Kashmir,Jammu,"Bari Brahamana Industrial Area, Jammu",Jammu & Kashmir State Pollution Control Board,Industrial Area,5,14,100,NA
507,16-06-14,Jammu & Kashmir,Jammu,"Bari Brahamana Industrial Area, Jammu",Jammu & Kashmir State Pollution Control Board,Industrial Area,4,14,82,NA
507,17-06-14,Jammu & Kashmir,Jammu,"Bari Brahamana Industrial Area, Jammu",Jammu & Kashmir State Pollution Control Board,Industrial Area,4,14,80,NA
507,23-06-14,Jammu & Kashmir,Jammu,"Bari Brahamana Industrial Area, Jammu",Jammu & Kashmir State Pollution Control Board,Industrial Area,4,12,133,NA
