ServiceName,RpoName,SchemeType,LastWeekCount,LastMonthCount,YearTillDate,Date
Application Fee Online Payment - Mode Wise,RPO Coimbatore,Online,1480350,6618100,42060650,08-07-18
Applications Received - Service Wise,RPO Coimbatore,FRESH,2785,11171,70777,08-07-18
Applications Received - Service Wise,RPO Coimbatore,PCC,96,379,2999,08-07-18
Applications Received - Service Wise,RPO Coimbatore,REISSUE,913,3842,25365,08-07-18
Applications Granted - PV Mode wise,RPO Coimbatore,No Verification,655,2664,19402,08-07-18
Applications Granted - PV Mode wise,RPO Coimbatore,Post Verification,228,955,6129,08-07-18
Applications Granted - PV Mode wise,RPO Coimbatore,Pre Verification,2222,8557,59782,08-07-18
PV Processing Time,RPO Coimbatore,More than 21 Days,62,837,13432,08-07-18
PV Processing Time,RPO Coimbatore,Within 21 Days,2263,12065,65826,08-07-18
Applications Received - Scheme wise,RPO Dehradun,Normal,2789,9786,57014,08-07-18
Applications Received - Scheme wise,RPO Dehradun,Tatkaal,54,221,1303,08-07-18
Applications Received - Gender wise,RPO Dehradun,FEMALE,901,3231,17613,08-07-18
Applications Received - Gender wise,RPO Dehradun,MALE,1942,6774,40702,08-07-18
Applications Received - Gender wise,RPO Dehradun,TRANSGENDER,0,1,1,08-07-18
Applications with Aadhaar Number,RPO Dehradun,Count of Applications,2843,10006,58316,08-07-18
Applications - Education Wise,RPO Dehradun,10TH PASS AND ABOVE,1061,3968,22030,08-07-18
Applications - Education Wise,RPO Dehradun,5TH PASS OR LESS,0,0,0,08-07-18
Applications - Education Wise,RPO Dehradun,BETWEEN 6TH AND 9TH STANDARD,0,0,0,08-07-18
Applications - Education Wise,RPO Dehradun,GRADUATE AND ABOVE,1076,3642,20308,08-07-18
Applications - Age Wise Wise,RPO Dehradun,Between_18_to_35,1761,6129,35531,08-07-18
Applications - Age Wise Wise,RPO Dehradun,Between_36_to_60,641,2251,13540,08-07-18
Applications - Age Wise Wise,RPO Dehradun,GreaterThan60,172,553,3936,08-07-18
Applications - Age Wise Wise,RPO Dehradun,LessThan18,269,1073,5309,08-07-18
Application Fee Online Payment - Mode Wise,RPO Dehradun,Challan,153050,420550,3534400,08-07-18
Application Fee Online Payment - Mode Wise,RPO Dehradun,Credit/ Debit Card,1652350,7543850,39788500,08-07-18
Application Fee Online Payment - Mode Wise,RPO Dehradun,Online,1200000,5113250,30201250,08-07-18
Applications Received - Service Wise,RPO Dehradun,FRESH,2126,7499,42817,08-07-18
Applications Received - Service Wise,RPO Dehradun,PCC,115,443,3337,08-07-18
Applications Received - Service Wise,RPO Dehradun,REISSUE,602,2063,12156,08-07-18
Applications Granted - PV Mode wise,RPO Dehradun,No Verification,137,566,3847,08-07-18
Applications Granted - PV Mode wise,RPO Dehradun,Post Verification,295,864,5950,08-07-18
Applications Granted - PV Mode wise,RPO Dehradun,Pre Verification,1708,4299,32487,08-07-18
PV Processing Time,RPO Dehradun,More than 21 Days,180,914,9916,08-07-18
PV Processing Time,RPO Dehradun,Within 21 Days,1556,6786,36019,08-07-18
Applications Received - Scheme wise,RPO Delhi,Normal,13373,53328,333681,08-07-18
Applications Received - Scheme wise,RPO Delhi,Tatkaal,1468,8006,40438,08-07-18
Applications Received - Gender wise,RPO Delhi,FEMALE,5868,25615,151146,08-07-18
Applications Received - Gender wise,RPO Delhi,MALE,8970,35709,222835,08-07-18
Applications Received - Gender wise,RPO Delhi,TRANSGENDER,0,1,20,08-07-18
Applications with Aadhaar Number,RPO Delhi,Count of Applications,14838,61325,374001,08-07-18
Applications - Education Wise,RPO Delhi,10TH PASS AND ABOVE,4744,18641,105105,08-07-18
Applications - Education Wise,RPO Delhi,5TH PASS OR LESS,0,0,0,08-07-18
Applications - Education Wise,RPO Delhi,BETWEEN 6TH AND 9TH STANDARD,0,0,0,08-07-18
Applications - Education Wise,RPO Delhi,GRADUATE AND ABOVE,6864,28327,174187,08-07-18
Applications - Age Wise Wise,RPO Delhi,Between_18_to_35,7555,29379,176429,08-07-18
Applications - Age Wise Wise,RPO Delhi,Between_36_to_60,4132,16890,105550,08-07-18
Applications - Age Wise Wise,RPO Delhi,GreaterThan60,949,3835,26675,08-07-18
Applications - Age Wise Wise,RPO Delhi,LessThan18,2202,11221,65347,08-07-18
Application Fee Online Payment - Mode Wise,RPO Delhi,Challan,826600,1648850,11904100,08-07-18
Application Fee Online Payment - Mode Wise,RPO Delhi,Credit/ Debit Card,12345000,62700750,345268800,08-07-18
Application Fee Online Payment - Mode Wise,RPO Delhi,Online,3229350,13773600,83234950,08-07-18
Applications Received - Service Wise,RPO Delhi,FRESH,9228,36445,215062,08-07-18
Applications Received - Service Wise,RPO Delhi,PCC,399,1529,10470,08-07-18
Applications Received - Service Wise,RPO Delhi,REISSUE,5194,23315,148209,08-07-18
Applications Granted - PV Mode wise,RPO Delhi,No Verification,704,2640,19428,08-07-18
Applications Granted - PV Mode wise,RPO Delhi,Post Verification,3735,16017,96094,08-07-18
Applications Granted - PV Mode wise,RPO Delhi,Pre Verification,10322,38248,234680,08-07-18
PV Processing Time,RPO Delhi,More than 21 Days,139,1227,4710,08-07-18
PV Processing Time,RPO Delhi,Within 21 Days,10138,40428,257196,08-07-18
Applications Received - Scheme wise,RPO Ghaziabad,Normal,5444,19625,134497,08-07-18
